列名,列的含义,解释
code,股票代码,带后缀.XSHE/.XSHG
pubDate,日期,公司发布财报日期
statDate,日期,"财报统计的季度的最后一天, 比如2015-03-31, 2015-06-30"
goods_sale_and_service_render_cash,销售商品、提供劳务收到的现金(元),反映企业本期销售商品、提供劳务收到的现金,以及前期销售商品、提供劳务本期收到的现金(包括销售收入和应向购买者收取的增值税销项税额)和本期预收的款项,减去本期销售本期退回的商品和前期销售本期退回的商品支付的现金。企业销售材料和代购代销业务收到的现金,也在本项目反映。
net_deposit_increase,客户存款和同业存放款项净增加额(元),客户存款和同业存款净增加额=客户存款和同业存款期末余额－客户存款和同业存款期初余额。
net_borrowing_from_central_bank,向中央银行借款净增加额(元),向中央银行借款净增加额=向中央银行借款期末余额－向中央银行借款期初余额。
net_borrowing_from_finance_co,向其他金融机构拆入资金净增加额(元),向其他金融机构拆入资金净增加额=向其他金融机构拆入资金期末余额－向其他金融机构拆入资金期初余额。
net_original_insurance_cash,收到原保险合同保费取得的现金(元),收到原保险合同保费取得的现金
net_cash_received_from_reinsurance_business,收到再保险业务现金净额(元),再保险是指一个保险人,分出一定的保险金额给另一个保险人。
net_insurer_deposit_investment,保户储金及投资款净增加额(元),保户储金,是指保险公司以储金利息作为保费的保险业务,收到保户缴存的储金。投资款是收到股东的款项。
net_deal_trading_assets,处置交易性金融资产净增加额(元),交易性金融资产是指企业为了近期内出售而持有的债券投资、股票投资和基金投资。
interest_and_commission_cashin,收取利息、手续费及佣金的现金(元),收取利息、手续费及佣金的现金
net_increase_in_placements,拆入资金净增加额(元),拆入资金净增加额=拆入资金期末余额－拆入资金期初余额。
net_buyback,回购业务资金净增加额(元),回购交易是质押贷款的一种方式,通常用在政府债券上。债券经纪人向投资者临时出售一定的债券,同时签约在一定的时间内以稍高价格买回来。债券经纪人从中取得资金再用来投资,而投资者从价格差中得利。
tax_levy_refund,收到的税费返还(元),反映企业收到返还的增值税、营业税、所得税、消费税、关税和教育费附加返还款等各种税费。
other_cashin_related_operate,收到其他与经营活动有关的现金(元),反映企业收到的罚款收入、经营租赁收到的租金等其他与经营活动有关的现金流入,金额较大的应当单独列示。
subtotal_operate_cash_inflow,经营活动现金流入小计(元),销售商品、提供劳务+收到的现金收到的税费返还+收到其他与经营活动有关的现金。
goods_and_services_cash_paid,购买商品、接受劳务支付的现金(元),反映企业本期购买商品、接受劳务实际支付的现金(包括增值税进项税额),以及本期支付前期购买商品、接受劳务的未付款项和本期预付款项,减去本期发生的购货退回收到的现金。
